pe/DS-014-92-EM-1992.md	DS-014-92-EM-1992	Decreto Supremo N° 014-92-EM - Texto Único Ordenado de la Ley General de Minería	1992-06-04	1992-06-04T00:00:00Z	1992
pe/LEY-32120-1992.md	LEY-32120-1992	Ley N.° 32120	1992-06-05	1992-06-05T00:00:00Z	1992
pe/DL-25593-1992.md	DL-25593-1992	Ley de Relaciones Colectivas de Trabajo	1992-07-02	1992-07-02T00:00:00Z	1992
pe/DS-011-92-TR-1992.md	DS-011-92-TR-1992	Reglamento de la Ley de Relaciones Colectivas de Trabajo	1992-10-15	1992-10-15T00:00:00Z	1992
pe/DL-25844-1992.md	DL-25844-1992	Decreto Ley N° 25844 - Ley de Concesiones Eléctricas	1992-11-19	1992-11-19T00:00:00Z	1992
pe/DL-25868-1992.md	DL-25868-1992	Ley de Creación de INDECOPI	1992-11-24	1992-11-24T00:00:00Z	1992
pe/DS-012-92-TR-1992.md	DS-012-92-TR-1992	Reglamento del Decreto Legislativo 713 - Descansos Remunerados	1992-12-03	1992-12-03T00:00:00Z	1992
pe/DL-25977-1992.md	DL-25977-1992	Decreto Ley N° 25977 - Ley General de Pesca	1992-12-22	1992-12-22T00:00:00Z	1992
pe/DLEG-768-1993.md	DLEG-768-1993	TUO del Código Procesal Civil	1993-04-22	1993-04-22T00:00:00Z	1993
pe/DLEG-PROCESAL-CIVIL-2-1993.md	DLEG-PROCESAL-CIVIL-2-1993	TUO del Código Procesal Civil (del artículo 749 al 847)	1993-04-23	1993-04-23T00:00:00Z	1993
pe/DLEG-PROCESAL-CIVIL-1993.md	DLEG-PROCESAL-CIVIL-1993	Código Procesal Civil Peruano	1993-04-23	1993-04-23T00:00:00Z	1993
pe/DS-017-93-JUS-LOPJ-1993.md	DS-017-93-JUS-LOPJ-1993	TUO de la Ley Orgánica del Poder Judicial	1993-06-02	1993-06-02T00:00:00Z	1993
pe/DS-017-93-JUS-1993.md	DS-017-93-JUS-1993	TUO de la Ley Orgánica del Poder Judicial	1993-06-02	1993-06-02T00:00:00Z	1993
pe/LEY-26221-1993.md	LEY-26221-1993	Ley Orgánica de Hidrocarburos	1993-08-20	1993-08-20T00:00:00Z	1993
pe/CON-1993.md	CON-1993	Constitución Política del Perú	1993-12-30	1993-12-30T00:00:00Z	1993
pe/DLEG-776-1993.md	DLEG-776-1993	Ley de Tributación Municipal	1993-12-31	1993-12-31T00:00:00Z	1993
pe/DLEG-771-1993.md	DLEG-771-1993	Ley Marco del Sistema Tributario Nacional	1993-12-31	1993-12-31T00:00:00Z	1993
pe/LEY-26300-1994.md	LEY-26300-1994	Ley N° 26300 - Ley de los Derechos de Participación y Control Ciudadanos	1994-05-03	1994-05-03T00:00:00Z	1994
pe/DS-122-94-EF-REGLAMENTO-RENTA-CAP6-1994.md	DS-122-94-EF-REGLAMENTO-RENTA-CAP6-1994	Reglamento de la Ley del Impuesto a la Renta - Capítulo VI: De la Renta Neta	1994-09-21	1994-09-21T00:00:00Z	1994
pe/LEY-26366-1994.md	LEY-26366-1994	Ley que crea el Sistema Nacional y Superintendencia de los Registros Públicos	1994-10-16	1994-10-16T00:00:00Z	1994
pe/reformas-constitucionales/LEY-REFORMA-26470-1995.md	LEY-REFORMA-26470-1995	Ley de Reforma Constitucional que modifica el artículo 200 de la Constitución	1995-06-12	1995-06-12T00:00:00Z	1995
pe/reformas-constitucionales/LEY-REFORMA-26472-1995.md	LEY-REFORMA-26472-1995	Ley de Reforma Constitucional que modifica el artículo 77 de la Constitución	1995-06-13	1995-06-13T00:00:00Z	1995
pe/LEY-26486-1995.md	LEY-26486-1995	Ley Orgánica del Jurado Nacional de Elecciones	1995-06-21	1995-06-21T00:00:00Z	1995
pe/LEY-26497-1995.md	LEY-26497-1995	Ley Orgánica del RENIEC	1995-07-12	1995-07-12T00:00:00Z	1995
pe/DLEG-813-1996.md	DLEG-813-1996	Ley Penal Tributaria	1996-04-20	1996-04-20T00:00:00Z	1996
pe/DLEG-821-1996.md	DLEG-821-1996	Ley del Impuesto General a las Ventas e Impuesto Selectivo al Consumo	1996-04-23	1996-04-23T00:00:00Z	1996
pe/DLEG-824-1996.md	DLEG-824-1996	Ley de Lucha contra el Tráfico Ilícito de Drogas	1996-04-24	1996-04-24T00:00:00Z	1996
pe/DLEG-822-1996.md	DLEG-822-1996	Ley sobre el Derecho de Autor	1996-04-24	1996-04-24T00:00:00Z	1996
pe/LEY-26636-1996.md	LEY-26636-1996	Ley Procesal del Trabajo	1996-06-24	1996-06-24T00:00:00Z	1996
pe/LEY-26662-1996.md	LEY-26662-1996	Ley de Competencia Notarial en Asuntos No Contenciosos	1996-09-22	1996-09-22T00:00:00Z	1996
pe/DLEG-854-1996.md	DLEG-854-1996	Ley de Jornada de Trabajo, Horario y Trabajo en Sobretiempo	1996-10-01	1996-10-01T00:00:00Z	1996
pe/DLEG-861-1996.md	DLEG-861-1996	Decreto Legislativo N° 861 - Ley del Mercado de Valores	1996-10-22	1996-10-22T00:00:00Z	1996
pe/DLEG-892-1996.md	DLEG-892-1996	Participación de los Trabajadores en las Utilidades	1996-11-11	1996-11-11T00:00:00Z	1996
pe/LEY-EMPRESAS-FINANCIERO-1996.md	LEY-EMPRESAS-FINANCIERO-1996	Las empresas del sistema financiero en el Perú	1996-12-09	1996-12-09T00:00:00Z	1996
pe/LEY-26702-1996.md	LEY-26702-1996	Ley N° 26702 - Ley General del Sistema Financiero y del Sistema de Seguros	1996-12-09	1996-12-09T00:00:00Z	1996
pe/DS-001-97-TR-1997.md	DS-001-97-TR-1997	TUO de la Ley de Compensación por Tiempo de Servicios	1997-03-01	1997-03-01T00:00:00Z	1997
pe/DS-003-97-TR-1997.md	DS-003-97-TR-1997	TUO del D.Leg. 728 - Ley de Productividad y Competitividad Laboral	1997-03-27	1997-03-27T00:00:00Z	1997
pe/DS-002-97-TR-TUO-728-1997.md	DS-002-97-TR-TUO-728-1997	TUO del Decreto Legislativo 728 - Ley de Formación y Promoción Laboral	1997-03-27	1997-03-27T00:00:00Z	1997
pe/DS-002-97-TR-1997.md	DS-002-97-TR-1997	TUO del D.Leg. 728, Ley de Formación y Promoción Laboral	1997-03-27	1997-03-27T00:00:00Z	1997
pe/DS-004-97-TR-1997.md	DS-004-97-TR-1997	Reglamento de la Ley de Compensación por Tiempo de Servicios	1997-04-15	1997-04-15T00:00:00Z	1997
pe/LEY-26772-1997.md	LEY-26772-1997	Disponen que las ofertas de empleo y acceso a medios de formación educativa no podrán contener requisitos que constituyan discriminación, anulación o alteración de igualdad de oportunidad	1997-04-17	1997-04-17T00:00:00Z	1997
pe/DS-054-97-EF-1997.md	DS-054-97-EF-1997	TUO de la Ley del Sistema Privado de Administración de Fondos de Pensiones	1997-05-14	1997-05-14T00:00:00Z	1997
pe/LEY-26790-1997.md	LEY-26790-1997	Ley N° 26790 - Ley de Modernización de la Seguridad Social en Salud	1997-05-17	1997-05-17T00:00:00Z	1997
pe/LEY-26821-1997.md	LEY-26821-1997	Ley N° 26821 - Ley Orgánica para el Aprovechamiento Sostenible de los Recursos Naturales	1997-06-26	1997-06-26T00:00:00Z	1997
pe/LEY-26834-1997.md	LEY-26834-1997	Ley N° 26834 - Ley de Áreas Naturales Protegidas	1997-07-04	1997-07-04T00:00:00Z	1997
pe/LEY-26842-1997.md	LEY-26842-1997	Ley General de Salud	1997-07-20	1997-07-20T00:00:00Z	1997
pe/DS-009-97-SA-1997.md	DS-009-97-SA-1997	Reglamento de la Ley de Modernización de la Seguridad Social en Salud	1997-09-09	1997-09-09T00:00:00Z	1997
pe/LEY-26859-1997.md	LEY-26859-1997	Ley Orgánica de Elecciones	1997-10-01	1997-10-01T00:00:00Z	1997
pe/LEY-26864-1997.md	LEY-26864-1997	Ley de Elecciones Municipales	1997-10-14	1997-10-14T00:00:00Z	1997
pe/LEY-26872-1997.md	LEY-26872-1997	Ley de Conciliación	1997-11-13	1997-11-13T00:00:00Z	1997
pe/LEY-26887-1997.md	LEY-26887-1997	Ley General de Sociedades	1997-12-09	1997-12-09T00:00:00Z	1997
pe/LEY-29882-1997.md	LEY-29882-1997	Modificatoria a la Ley Orgánica de la Defensoría del Pueblo.Modificatoria a la Ley Orgánica de la Defensoría del Pueblo.	1997-12-16	1997-12-16T00:00:00Z	1997
pe/REGLAMENTO-CONGRESO-1998.md	REGLAMENTO-CONGRESO-1998	TUO del Reglamento del Congreso de la República	1998-05-30	1998-05-30T00:00:00Z	1998
pe/LEY-26979-1998.md	LEY-26979-1998	Ley de Procedimiento de Ejecución Coactiva	1998-09-23	1998-09-23T00:00:00Z	1998
pe/LEY-30230-1998.md	LEY-30230-1998	Ley que establece medidas tributarias, simplificación de procedimientos y permisos para la promoción y dinamización de la inversión en el país.11 de julio de 2014	1998-12-31	1998-12-31T00:00:00Z	1998
pe/LEY-27050-1999.md	LEY-27050-1999	Ley General de la Persona con Discapacidad	1999-01-06	1999-01-06T00:00:00Z	1999
pe/LEY-27056-1999.md	LEY-27056-1999	Ley N° 27056 - Ley de Creación del Seguro Social de Salud (ESSALUD)	1999-01-30	1999-01-30T00:00:00Z	1999
pe/DS-055-99-EF-TUO-IGV-1999.md	DS-055-99-EF-TUO-IGV-1999	TUO Ley del IGV e ISC	1999-04-15	1999-04-15T00:00:00Z	1999
pe/LEY-27157-1999.md	LEY-27157-1999	Ley de Regularización de Edificaciones	1999-07-20	1999-07-20T00:00:00Z	1999
pe/LEY-27181-1999.md	LEY-27181-1999	Ley General de Transporte y Tránsito Terrestre	1999-10-08	1999-10-08T00:00:00Z	1999
pe/LEY-27240-1999.md	LEY-27240-1999	Ley que otorga permiso por lactancia materna	1999-12-23	1999-12-23T00:00:00Z	1999
pe/LEY-26831-1999.md	LEY-26831-1999	Decreto Supremo 023-96-ITINCI: Reglamento CETICOS (04 Enero 1997) y sus modificatorias.30 de junio de 1997	1999-12-31	1999-12-31T00:00:00Z	1999
pe/LEY-27153-1999.md	LEY-27153-1999	Ley que regula la explotación de los juegos de casino y máquinas tragamonedasRegula la explotación de los juegos de casino y máquinas tragamonedas a fin de preservar y proteger a la ciuda	1999-12-31	1999-12-31T00:00:00Z	1999
pe/LEY-27269-2000.md	LEY-27269-2000	Ley de Firmas y Certificados Digitales	2000-05-26	2000-05-26T00:00:00Z	2000
pe/LEY-27287-2000.md	LEY-27287-2000	Ley de Títulos Valores	2000-06-19	2000-06-19T00:00:00Z	2000
pe/LEY-27291-2000.md	LEY-27291-2000	Ley que permite utilización de medios electrónicos	2000-06-24	2000-06-24T00:00:00Z	2000
pe/LEY-29985-2000.md	LEY-29985-2000	Ley que regula las características básicas del dinero electrónico como instrumento de inclusión financiera.17 de enero de 2013	2000-07-17	2000-07-17T00:00:00Z	2000
pe/LEY-27337-2000.md	LEY-27337-2000	Código de los Niños y Adolescentes	2000-08-07	2000-08-07T00:00:00Z	2000
pe/CODIGO-NINOS-ADOLESCENTES-2000.md	CODIGO-NINOS-ADOLESCENTES-2000	Código de los Niños y Adolescentes	2000-08-07	2000-08-07T00:00:00Z	2000
pe/reformas-constitucionales/LEY-REFORMA-27365-2000.md	LEY-REFORMA-27365-2000	Ley de Reforma Constitucional que elimina la reelección presidencial inmediata	2000-11-05	2000-11-05T00:00:00Z	2000
pe/LEY-27444-2001.md	LEY-27444-2001	Ley del Procedimiento Administrativo General	2001-04-11	2001-04-11T00:00:00Z	2001
